Brand	Outside model	Inside model	Furnace model	HSPF (Region IV)	Rated heating capacity (Btu/hour)	Grant amount	AHRI / Verification reference	AHRI Classification	Series name/product line (if applicable)	SEER	Rated cooling capacity (Btu/hour)	Coefficient of Performance (COP) at -15 °C (5 °F) (at maximum capacity)	Capacity Maintenance %  (Max -15°C/5°F ÷ Rated 8.3°C/47°F)
LG	LMU420HHV			11	45000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	10444103	HMSV-A-CB		19.75	42000	2.11	100
AMERICAN STANDARD / MITSUBISHI ELECTRIC	NAXMPH36A142B*			11	45000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	204834289	HMSV-A-CB	Nv Series Pro Heat	17.5	36000	2	100
TRANE / MITSUBISHI ELECTRIC	NTXMPH36A142B*			11	45000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	204834285	HMSV-A-CB	Nv Series Pro Heat	17.5	36000	2	100
GREE	GMV-HY36WLT/A-T(U)			11	45000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	9342251	HMSV-A-CB-O		18	36000	2	83
LG	LMU420HHV			11	45000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	10443471	HMSV-A-CB		20.5	42000	2.15	100
LG	LMU361HHV			11	45000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	206717012	HMSV-A-CB	MULTI F RED	20.5	36000	2.26	100
BRYANT	280ANV048*0**A*	CAP**6021AL*+UI & 98(6*B,7*A)66100V21***		11	45500	$5,000	9893742	HRCU-A-CB	Bryant® Extreme Heat Pump	17	46000	2.42	91
CARRIER	25VNA048A*030*	CAP**6021AL*+UI & 59*N*A100V21**22		11	45500	$5,000	9892794	HRCU-A-CB	Infinity® 20 Heat Pump with Greenspeed® Intelligence	17	46000	2.42	91
CARRIER	25VNA048A*030*	CAP**6024AL*+UI & 59*N*A100V21**22		11	45500	$5,000	9892797	HRCU-A-CB	Infinity® 20 Heat Pump with Greenspeed® Intelligence	17	46000	2.3	90
BRYANT	280ANV048*0**A*	CAP**4821AL*+UI	88*TA60070C21***	11	45500	$5,000	204431364	HRCU-A-CB		17	45000	2.2	88
BRYANT	280ANV048*0**A*	CAP**6024AL*+UI & 98(6*B,7*A)66100V21***		11	45500	$5,000	9893745	HRCU-A-CB	Bryant® Extreme Heat Pump	17	46000	2.3	90
CARRIER	25VNA048A*030*	CAP**6024AL*+UI	59MN7B080C21**20	11	45500	$5,000	204431447	HRCU-A-CB		17	46000	1.8	85
BRYANT	280ANV048*0**A*	CAP**4824AL*+UI	88*TA60070C21***	11	45500	$5,000	204431384	HRCU-A-CB		17	45000	2.18	88
BRYANT	280ANV048*0**A*	CAP**4824AL*+UI	986TC66120C24***	11	45500	$5,000	204431387	HRCU-A-CB		17	45000	2.16	88
BRYANT	280ANV048*0**A*	CAP**4824AL*+UI	987MB66100C21***	11	45500	$5,000	204431394	HRCU-A-CB		17	45000	2.18	88
BRYANT	280ANV048*0**A*	CAP**6024AL*+UI	987MB60080C21***	11	45500	$5,000	204431451	HRCU-A-CB		17	46000	2.08	85
BRYANT	280ANV048*0**A*	CAP**4824AL*+UI	987MB60080C21***	11	46000	$5,000	204431390	HRCU-A-CB		17	45000	2.18	87
BRYANT	280ANV048*0**A*	CSPH*6012AL*+UI	986TC66120C24***	11	46000	$5,000	204431605	HRCU-A-CB		17	46000	1.84	84
BRYANT	280ANV048*0**A*	CAP**4821AL*+UI	987MB60080C21***	11	46000	$5,000	204431371	HRCU-A-CB		17	45000	2.18	85
CARRIER	25VNA048A*030*	CSPH*6012AL*+UI	59TN6B120C24**22	11	46000	$5,000	204431604	HRCU-A-CB		17	46000	1.84	84
CARRIER	25VNA048A*030*	FE4AN(B,F)005L+UI		11	46500	$5,000	9892779	HRCU-A-CB		17.5	46500	2.12	83
BRYANT	280ANV048000	FE4AN(B,F)005L+UI		11	46500	$5,000	9893727	HRCU-A-CB	Evolution Series	17.5	46500	2.12	83
AMERICAN STANDARD / MITSUBISHI ELECTRIC	ASUZH0421KA00NA	APVA0A0421AA70A		11	48000	$5,000	204444986	HRCU-A-CB		15.3	42000	1.91	100
TRANE / MITSUBISHI ELECTRIC	TRUZH0421KA00NA	TPVA0A0421AA70A		11	48000	$5,000	204444987	HRCU-A-CB		15.3	42000	1.91	100
MITSUBISHI ELECTRIC	PUZ-HA42NKA	PVA-A42AA*		11	48000	$5,000	201754495	HRCU-A-CB	P-Series H2i	15.3	42000	1.91	100
TRANE / MITSUBISHI ELECTRIC	NTXMPH42A152B*			11	48000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	204834286	HMSV-A-CB-O	Nv Series Pro Heat	20	42000	2	100
MITSUBISHI ELECTRIC	MXZ-5C42NAHZ			11	48000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	201754926	HRCU-A-CB-O	M-Series	19	42000	2.51	100
TRANE / MITSUBISHI ELECTRIC	NTXMPH42A152AA			11	48000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	202373745	HMSV-A-CB	M-Series H2i	19	42000	2.51	100
LG	LUU420HHV	LVN420HV		11	48000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	205788776	HRCU-A-CB		19.6	42000	2.04	100
AMERICAN STANDARD / MITSUBISHI ELECTRIC	NAXMPH42A152B*			11	48000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	204834290	HMSV-A-CB-O	Nv Series Pro Heat	20	42000	2	100
AMERICAN STANDARD / MITSUBISHI ELECTRIC	NAXMPH42A152AA			11	48000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	202373705	HMSV-A-CB	M-Series H2i	19	42000	2.51	100
LG	LMU421HHV			11	48000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	206717013	HMSV-A-CB	MULTI F RED	20.3	42000	2.28	100
MITSUBISHI ELECTRIC	MXZ-5C42NAHZ2			11	48000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	204834294	HMSV-A-CB-O	M-Series H2i	20	42000	2	100
MDV	M5OG-48HFN1-M-[X]-20			11	49000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	206714984	HMSV-A-CB		21.5	48000	2	97
COMFORTSTAR	CPP048CD(O)-DU	TPA-48DU		11	50000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	9119322	HRCU-A-CB-O		16.8	48000	1.95	71
ELIOS	DE48HOS18230E5	DE48HICU230X5		11	50000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	202635794	HRCU-A-CB-O		16.8	48000	1.95	71
DAY & NIGHT	DLCLRBH48AAK	DLFLFAH48XAK		11	50000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	206188299	HRCU-A-CB-O	Constant Comfort	18	48000	2.48	85
DAY & NIGHT	DLCLRBH48AAK	DLFLCAH48XAK		11	50000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	206188300	HRCU-A-CB-O	Constant Comfort	17	48000	2.45	74
ELIOS	DE48HOS18230E5	DM48HICU230X5		11	50000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	205300182	HRCU-A-CB-O		16.8	48000	1.95	71
MIDEA	38MBRBQ48AA3	40MBFQ48---3		11	50000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	206188278	HRCU-A-CB-O	Excel	18	48000	2.48	85
MIDEA	38MBRBQ48AA3	40MBCQ48---3		11	50000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	206188279	HRCU-A-CB-O	Excel	17	48000	2.45	74
MIDEA	DLCLRBH48AAK	DLFLFAH48XAK		11	50000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	206188327	HRCU-A-CB-O	Excel	18	48000	2.48	85
MIDEA	DLCLRBH48AAK	DLFLCAH48XAK		11	50000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	206188328	HRCU-A-CB-O	Excel	17	48000	2.45	74
MIDEA	DLCLRAH48AAK	DLFLFAH48XAK		11	50000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	201796618	HRCU-A-CB-O	Advantage	17.8	48000	2.03	87
MIDEA	DLCLRAH48AAK	DLFLCAH48XAK		11	50000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	201796619	HRCU-A-CB-O	Advantage	16.8	48000	2.03	75
MIDEA	38MBRQ48A--3	40MBCQ48---3		11	50000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	201847058	HRCU-A-CB-O	Excel	16.8	48000	2.03	75
MIDEA	38MBRQ48A--3	40MBFQ48---3		11	50000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	201847064	HRCU-A-CB-O	Excel	17.8	48000	2.03	87
WEATHERMAKER	38MBRBQ48AA3	40MBFQ48---3		11	50000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	206188271	HRCU-A-CB-O	Mid-Tier	18	48000	2.48	85
WEATHERMAKER	38MBRBQ48AA3	40MBCQ48---3		11	50000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	206188272	HRCU-A-CB-O	Mid-Tier	17	48000	2.45	74
MDV	MOE30U-48HFN1-M	MCD-48HRFN1-M(D)		11	50000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	8819859	HRCU-A-CB-O		16.8	48000	1.95	71
MDV	MOE30U-48HFN1-M	MUE-48HRFN1-M(C)		11	50000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	8819860	HRCU-A-CB-O		17.8	48000	1.91	72
PAYNE	38MBRBQ48AA3	40MBFQ48---3		11	50000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	206188264	HRCU-A-CB-O	Mid-Tier	18	48000	2.48	85
PAYNE	38MBRBQ48AA3	40MBCQ48---3		11	50000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	206188265	HRCU-A-CB-O	Mid-Tier	17	48000	2.45	74
TEMPSTAR	DLCLRAH48AAK	DLFLFAH48XAK		11	50000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	201835826	HRCU-A-CB-O	Mid-tier	17.8	48000	2.03	87
TEMPSTAR	DLCLRAH48AAK	DLFLCAH48XAK		11	50000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	201835828	HRCU-A-CB-O	Mid-tier	16.8	48000	2.03	75
TEMPSTAR	DLCLRBH48AAK	DLFLFAH48XAK		11	50000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	206188334	HRCU-A-CB-O	QuietComfort	18	48000	2.48	85
TEMPSTAR	DLCLRBH48AAK	DLFLCAH48XAK		11	50000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	206188335	HRCU-A-CB-O	QuietComfort	17	48000	2.45	74
MOOVAIR	DM48HOS18230E5	DM48HICU230X5		11	50000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	204005758	HRCU-A-CB-O		16.8	48000	1.95	71
SMART COMFORT	DLCLRAH48AAK	DLFLFAH48XAK		11	50000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	202119336	HRCU-A-CB-O	Mid-tier	17.8	48000	2.03	87
SMART COMFORT	DLCLRAH48AAK	DLFLCAH48XAK		11	50000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	202119337	HRCU-A-CB-O	Mid-tier	16.8	48000	2.03	75
PAYNE	38MBRQ48A--3	40MBCQ48---3		11	50000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	201847041	HRCU-A-CB-O	Mid-tier	16.8	48000	2.03	75
PAYNE	38MBRQ48A--3	40MBFQ48---3		11	50000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	201847047	HRCU-A-CB-O	Mid-tier	17.8	48000	2.03	87
BRYANT	38MBRQ48A--3	40MBCQ48---3		11	50000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	201847026	HRCU-A-CB-O	Preferred	16.8	48000	2.03	75
ARCOAIRE	DLCLRAH48AAK	DLFLFAH48XAK		11	50000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	201835544	HRCU-A-CB-O	Mid-tier	17.8	48000	2.03	87
ARCOAIRE	DLCLRAH48AAK	DLFLCAH48XAK		11	50000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	201835545	HRCU-A-CB-O	Mid-tier	16.8	48000	2.03	75
ARCOAIRE	DLCLRBH48AAK	DLFLFAH48XAK		11	50000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	206188285	HRCU-A-CB-O	DuraComfort	18	48000	2.48	85
ARCOAIRE	DLCLRBH48AAK	DLFLCAH48XAK		11	50000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	206188286	HRCU-A-CB-O	DuraComfort	17	48000	2.45	74
AIRQUEST	DLCLRBH48AAK	DLFLFAH48XAK		11	50000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	206188341	HRCU-A-CB-O	QuietComfort	18	48000	2.48	85
AIRQUEST	DLCLRBH48AAK	DLFLCAH48XAK		11	50000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	206188342	HRCU-A-CB-O	QuietComfort	17	48000	2.45	74
BOSCH	BMS500-AAS048-1CSXLB	BMS500-AAU048-1AHCXB		11	50000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	203991171	HRCU-A-CB-O	Bosch Climate 5000 ductless minisplit series	16.8	48000	1.95	71
BRYANT	38MBRQ48A--3	40MBFQ48---3		11	50000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	201847030	HRCU-A-CB-O	Preferred	17.8	48000	2.03	87
C&H	CH-48LCU/O	CH-48MSPHCT-230VI		11	50000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	202534925	HRCU-A-CB-O	Single Zone Light Commercial  Ceiling Cassette	16.8	48000	1.95	71
C&H	CH-48LCU/O	CH-48LCFC/I		11	50000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	205047859	HRCU-A-CB-O	Single Zone Light Commercial  Floor-Ceiling	17.8	48000	1.91	72
BRYANT	38MBRBQ48AA3	40MBFQ48---3		11	50000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	206188257	HRCU-A-CB-O	Preferred	18	48000	2.48	85
BRYANT	38MBRBQ48AA3	40MBCQ48---3		11	50000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	206188258	HRCU-A-CB-O	Preferred	17	48000	2.45	74
CARRIER	38MBRQ48A--3	40MBCQ48---3		11	50000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	201847013	HRCU-A-CB-O	Performance	16.8	48000	2.03	75
CARRIER	38MBRQ48A--3	40MBFQ48---3		11	50000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	201847017	HRCU-A-CB-O	Performance	17.8	48000	2.03	87
C&H	CH-48LCU/O	CH-48LCCT-230VI		11	50000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	205263861	HRCU-A-CB-O		16.8	48000	1.95	71
C&H	CH-48LCU/O	CH-48LCFCI		11	50000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	205282616	HRCU-A-CB-O		17.8	48000	1.91	72
CARRIER	38MBRBQ48AA3	40MBFQ48---3		11	50000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	206188250	HRCU-A-CB-O	Performance	18	48000	2.48	85
CARRIER	38MBRBQ48AA3	40MBCQ48---3		11	50000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	206188251	HRCU-A-CB-O	Performance	17	48000	2.45	74
DAY & NIGHT	DLCLRAH48AAK	DLFLFAH48XAK		11	50000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	201835641	HRCU-A-CB-O	Mid-tier	17.8	48000	2.03	87
DAY & NIGHT	DLCLRAH48AAK	DLFLCAH48XAK		11	50000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	201835642	HRCU-A-CB-O	Mid-tier	16.8	48000	2.03	75
HEIL	DLCLRAH48AAK	DLFLFAH48XAK		11	50000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	201835730	HRCU-A-CB-O	Mid-tier	17.8	48000	2.03	87
HEIL	DLCLRAH48AAK	DLFLCAH48XAK		11	50000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	201835732	HRCU-A-CB-O	Mid-tier	16.8	48000	2.03	75
KENMORE	DLCLRAH48AAK	DLFLFAH48XAK		11	50000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	201835827	HRCU-A-CB-O	Mid-tier	17.8	48000	2.03	87
KENMORE	DLCLRAH48AAK	DLFLCAH48XAK		11	50000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	201835829	HRCU-A-CB-O	Mid-tier	16.8	48000	2.03	75
KENMORE	DLCLRBH48AAK	DLFLFAH48XAK		11	50000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	206188320	HRCU-A-CB-O	Mid-Tier	18	48000	2.48	85
KENMORE	DLCLRBH48AAK	DLFLCAH48XAK		11	50000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	206188321	HRCU-A-CB-O	Mid-Tier	17	48000	2.45	74
HEIL	DLCLRBH48AAK	DLFLFAH48XAK		11	50000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	206188306	HRCU-A-CB-O	QuietComfort	18	48000	2.48	85
HEIL	DLCLRBH48AAK	DLFLCAH48XAK		11	50000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	206188307	HRCU-A-CB-O	QuietComfort	17	48000	2.45	74
COMFORTMAKER	DLCLRAH48AAK	DLFLFAH48XAK		11	50000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	201835593	HRCU-A-CB-O	Mid-tier	17.8	48000	2.03	87
COMFORTMAKER	DLCLRAH48AAK	DLFLCAH48XAK		11	50000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	201835594	HRCU-A-CB-O	Mid-tier	16.8	48000	2.03	75
KEEPRITE	DLCLRAH48AAK	DLFLFAH48XAK		11	50000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	201835731	HRCU-A-CB-O	Mid-tier	17.8	48000	2.03	87
KEEPRITE	DLCLRAH48AAK	DLFLCAH48XAK		11	50000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	201835733	HRCU-A-CB-O	Mid-tier	16.8	48000	2.03	75
KEEPRITE	DLCLRBH48AAK	DLFLFAH48XAK		11	50000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	206188313	HRCU-A-CB-O	ProComfort	18	48000	2.48	85
KEEPRITE	DLCLRBH48AAK	DLFLCAH48XAK		11	50000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	206188314	HRCU-A-CB-O	ProComfort	17	48000	2.45	74
COMFORTSTAR	CPP048CD(O)-DU	FPA-48DU		11	50000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	9119321	HRCU-A-CB-O		17.8	48000	1.91	72
LG	LMU480HHV			11	52500	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	206717002	HMSV-A-CB-O	MULTI F RED	20.5	48000	2.34	100
GREE	GMV-HY48WLT/A-T(U)			11	54000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	9410050	HMSV-A-CB-O		18	48000	2	75
TRANE / MITSUBISHI ELECTRIC	TUMYH0481AK41**			11	54000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	204834219	HMSV-A-CB		16.5	48000	1.9	100
MITSUBISHI ELECTRIC	MXZ-8C48NAHZ			11	54000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	201754635	HRCU-A-CB-O	M-Series H2i	18.9	48000	2.29	100
TRANE / MITSUBISHI ELECTRIC	NTXMPH48A182AA			11	54000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	202373747	HRCU-A-CB-O	M-Series H2i	18.9	48000	2.29	100
MITSUBISHI ELECTRIC	PUMY-HP48NKMU1			11	54000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	204834216	HMSV-A-CB	S-Series	16.5	48000	1.9	100
LG	ARUM048GSS5			11	54000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	205967236	HMSR-A-CB		17.5	48000	2.43	100
MITSUBISHI ELECTRIC	PUMY-HP48NKMU			11	54000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	202423535	HMSV-A-CB	S-Series H2i	16.5	48000	1.9	100
TRANE / MITSUBISHI ELECTRIC	TUMYH0481AK40**			11	54000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	202850714	HMSV-A-CB		16.5	48000	1.9	100
GREE	GMV-48WL/B-T(U)			11	54000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	8654211	HMSV-A-CB	GMV5 Mini	20	48000	2	100
AMERICAN STANDARD / MITSUBISHI ELECTRIC	NAXMPH48A182AA			11	54000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	202373707	HRCU-A-CB-O	M-Series H2i	18.9	48000	2.29	100
CARRIER	25VNA060A*030*	CAP**6024AL*+UI	59MN7B120C24**22	11	55500	$5,000	204431647	HRCU-A-CB		17	54000	2.09	74
BRYANT	280ANV060*0**A*	CAP**6024AL*+UI	987MB66120C24***	11	55500	$5,000	204431650	HRCU-A-CB		17	54000	2.09	74
BRYANT	280ANV060*0**A*	CAP**6024AL*+UI	88*TA60090C21***	11	55500	$5,000	204431633	HRCU-A-CB		17	54000	2.09	74
CARRIER	25VNA060A*030*	CAP**6024AL*+UI	58TN*A090C21**20	11	55500	$5,000	204431632	HRCU-A-CB		17	54000	2.09	74
BRYANT	280ANV060*0**A*	CAP**6024AL*+UI	88*TA60110C21***	11	55500	$5,000	204431659	HRCU-A-CB		17	54000	2.09	74
BRYANT	280ANV060*0**A*	CAP**6024AL*+UI	986TC66100C21***	11	55500	$5,000	204431656	HRCU-A-CB		17	54000	2.09	74
CARRIER	25VNA060A*030*	CAP**6024AL*+UI	59TN6B100C21**22	11	55500	$5,000	204431654	HRCU-A-CB		17	54000	2.09	74
CARRIER	25VNA060A*030*	CAP**6024AL*+UI	58TN*A110C21**20	11	55500	$5,000	204431658	HRCU-A-CB		17	54000	2.09	74
BRYANT	280ANV060*0**A*	CAP**6024AL*+UI	986TC60080C21***	11	56000	$5,000	204431652	HRCU-A-CB		17	54000	2.13	75
BRYANT	280ANV060*0**A*	CAP**6024AL*+UI	88*TA60070C21***	11	56000	$5,000	204431630	HRCU-A-CB		17	54000	2.13	75
CARRIER	25VNA060A*030*	CAP**6121AL*+UI	58TN*A070C21**20	11	56000	$5,000	204431660	HRCU-A-CB		17	55000	2.09	75
CARRIER	25VNA060A*030*	CAP**6024AL*+UI	59TN6B080C21**20	11	56000	$5,000	204431651	HRCU-A-CB		17	54000	2.13	75
CARRIER	25VNA060A*030*	CAP**6024AL*+UI	58TN*A070C21**20	11	56000	$5,000	204431629	HRCU-A-CB		17	54000	2.13	75
BRYANT	280ANV060*0**A*	CSPH*6012AL*+UI	986TC60080C21***	11	56000	$5,000	204431767	HRCU-A-CB		16	54500	2.11	77
BRYANT	280ANV060*0**A*	CSPH*6012AL*+UI	987MB66120C24***	11	56000	$5,000	204431765	HRCU-A-CB		16	54500	2.09	77
CARRIER	25VNA060A*030*	CSPH*6012AL*+UI	59TN6B080C21**20	11	56000	$5,000	204431766	HRCU-A-CB		16	54500	2.11	77
CARRIER	25VNA060A*030*	CSPH*6012AL*+UI	59MN7B120C24**22	11	56000	$5,000	204431763	HRCU-A-CB		16	54500	2.09	77
BRYANT	280ANV060*0**A*	CAP**6121AL*+UI	88*TA60070C21***	11	56000	$5,000	204431662	HRCU-A-CB		17	55000	2.09	75
CARRIER	25VNA060A*030*	CNPV*6024AL*+UI	58TN*A110C21**20	11	56500	$5,000	204431741	HRCU-A-CB		17	54000	2.17	77
CARRIER	25VNA060A*030*	CNPV*6024AL*+UI	59TN6B100C21**22	11	56500	$5,000	204431739	HRCU-A-CB		17	54000	2.17	77
CARRIER	25VNA060A*030*	CNPV*6024AL*+UI	58TN*A090C21**20	11	56500	$5,000	204431717	HRCU-A-CB		17	54000	2.17	77
BRYANT	280ANV060*0**A*	CNPV*6024AL*+UI	986TC66100C21***	11	56500	$5,000	204431740	HRCU-A-CB		17	54000	2.17	77
BRYANT	280ANV060*0**A*	CNPV*6024AL*+UI	88*TA60090C21***	11	56500	$5,000	204431719	HRCU-A-CB		17	54000	2.17	77
BRYANT	280ANV060*0**A*	CNPV*6024AL*+UI	88*TA60110C21***	11	56500	$5,000	204431743	HRCU-A-CB		17	54000	2.17	77
GREE	GMV-60WL/C-T(U)			11	64000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	206335355	HMSV-A-CB-O	GMV5 Mini	21	60000	1.83	71
FUJITSU	AOU60RLAVM			11	66000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	8693473	HMSV-A-CB	AIRSTAGE J-II Series	16.5	60000	2.99	70
FUJITSU	AOU60RLAVM4			11	66000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	206347273	HMSV-A-CB	AIRSTAGE J-IV Series	18.5	60000	3.56	85
MITSUBISHI ELECTRIC	PUMY-P60NKMU*			11.05	66000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	201755028	HRCU-A-CB	S-Series	17.8	60000	1.87	75
FUJITSU	AOUH09LEAS1	ASUH09LMAS		11.1	10900	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	207454671	HRCU-A-CB-O	Halcyon Single-zone Mini Split	21.3	9000	2	82
MDV	MOE30U-48HFN1-M-[X]	MTI-48HWFN1-M		11.1	48000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	204829821	HRCU-A-CB		16	48000	2.19	102
MDV	MOE30U-48HFN1-M-[X](GA)	MTI-48HWFN1-M		11.1	48000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	207338217	HRCU-A-CB-O		16	48000	2.19	102
ELIOS	DE48HOS25230E3	DM48HIDU230X5		11.1	48000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	206853243	HRCU-A-CB		16	48000	2.19	102
MOOVAIR	DM48HOS25230E3	DM48HIDU230X5		11.1	48000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	206853241	HRCU-A-CB		16	48000	2.19	102
LENNOX	MLB048S4S-1P 	MMDB048S4-2P		11.1	48000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	205782161	HRCU-A-CB	MLB Low Ambient	16	48000	2.18	102
DAIKIN	5MXS48TVJU			11.1	48500	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	202638701	HMSV-A-CB	MXS Series	20.2	47000	2.23	80
FUJITSU	AOU48RLAVM4			11.1	54000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	206347275	HMSV-A-CB	AIRSTAGE J-IV Series	19.8	48000	3.36	85
MITSUBISHI ELECTRIC	MXZ-4C36NAHZ2			11.15	45000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	204926512	HMSV-A-CB	M-Series H2i	18.75	36000	2	100
TRANE / MITSUBISHI ELECTRIC	NTXMPH36A142B*			11.15	45000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	204926530	HMSV-A-CB	Nv Series Pro Heat	18.75	36000	2	100
AMERICAN STANDARD / MITSUBISHI ELECTRIC	NAXMPH36A142B*			11.15	45000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	204926523	HMSV-A-CB	Nv Series Pro Heat	18.75	36000	2	100
FUJITSU	AOU48RLAVM			11.15	54000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	8693478	HMSV-A-CB	AIRSTAGE J-II Series	18.95	48000	3	76
FUJITSU	AOU60RLAVM			11.15	66000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	8693475	HMSV-A-CB	AIRSTAGE J-II Series	17.5	60000	2.99	70
